Os01g0100900	Q52RG7
Os02g0644200	Q6H658
Os02g0644400	Q6H647
Os02g0644900	Q6H641
Os02g0645100	Q6H638
Os02g0646400	Q6H628
Os02g0649300	Q6H6S3
Os02g0649700	Q6H6R9
Os02g0649900	Q6H3Z6
Os02g0650300	Q6H3Z3
Os02g0650900	Q6H3Y7
Os02g0656200	C0LT23
Os02g0658100	Q7XA61
Os02g0658600	Q6H677
Os02g0658800	Q6H676
Os02g0661100	Q75WV3
Os02g0663800	Q6EUH7
Os02g0664300	Q6ESI7
Os02g0666200	Q6EU94
Os02g0669100	Q6ESR4
Os02g0672200	Q6EU14
Os02g0672600	Q6EU10
Os02g0672800	Q6EU49
Os02g0673700	B9F1L8
Os02g0674800	Q6EPF0
Os02g0677300	Q6EP77
Os02g0677700	Q0DYP5
Os02g0678200	Q6EPQ3
Os02g0678800	Q6EPP9
Os02g0680400	Q6EPN8
Os02g0680600	Q6EPN6
Os02g0682200	Q6EU39
Os02g0682600	Q9XGY5
Os02g0683500	Q6EU30
Os02g0685600	Q6ZHC8
Os02g0685900	Q0DYK7
Os02g0690500	Q6ZGY0
Os02g0697400	Q42982
Os02g0697800	Q6Z8F5
Os02g0700400	Q8W855
Os02g0700500	Q6Z8D0
Os02g0700600	Q6Z8C8
Os02g0700700	Q6ZIK7
Os02g0701300	Q6ZIK5
Os02g0701600	Q6ZIK0
Os02g0702000	Q6ZHJ5
Os02g0703600	Q05JG2
Os02g0704000	Q6YVJ0
Os02g0704900	Q0DYB1
Os02g0705300	Q6Z2G9
Os02g0706600	Q8S3Q9
Os02g0707000	Q8S3R1
Os02g0707100	Q8S3R2
Os02g0708100	Q6YV23
Os02g0709400	Q6ZFZ4
Os02g0711300	Q0DY72
Os02g0713400	Q6ZFU6
Os02g0713900	Q0DY59
Os02g0714600	Q6ZFT5
Os02g0717700	C7IZ16
Os02g0718900	P31691
Os02g0719800	Q6ZI17
Os02g0723200	Q6Z5M3
Os02g0723400	Q6Z5M0
Os02g0725300	Q0DXZ1
Os02g0725900	Q6Z348
Os02g0726300	Q6Z345
Os02g0728300	Q6YWS8
Os02g0729700	Q6YWR4
Os02g0730300	Q6YWQ4
Os02g0730800	Q6YWP9
Os02g0731200	Q6Z6W2
Os02g0732400	Q6Z2K1
Os02g0733300	Q6Z2J3
Os02g0733500	Q6Z2J1
Os02g0735200	P14656
Os02g0736100	Q6Z746
Os02g0736200	Q0DXS3
Os02g0738400	A1A699
Os02g0738600	Q6Z5P2
Os02g0739100	A3AB67
Os02g0739600	Q6Z5N4
Os02g0742200	Q6Z808
Os02g0742800	B9F2Y7
Os02g0742900	B9F2Y7
Os02g0743400	Q5SMQ9
Os02g0743900	Q6Z2U5
Os02g0744200	Q6ZGU9
Os02g0744600	Q6Z2T9
Os02g0744650	Q6Z2T9
Os02g0744700	Q6Z2T8
Os02g0744900	Q6Z2T6
Os02g0745100	Q6Z2T3
Os02g0747900	Q6YUX0
Os02g0749300	Q5NTH4
Os02g0749700	Q6Z8L2
Os02g0750400	A3ABE1
Os02g0750600	Q6Z8K4
Os02g0753000	Q6ZGP8
Os02g0754900	Q84P95
Os02g0755200	Q6Z690
Os02g0758000	Q6Z7V2
Os02g0759800	Q6K8D9
Os02g0761000	Q9XJ66
Os02g0762300	Q6Z6G6
Os02g0762400	Q6Z6G5
Os02g0762800	A4PBL4
Os02g0764100	Q0DXB1
Os02g0765600	P17654
Os02g0766700	Q6Z312
Os02g0766900	Q6Z310
Os02g0771400	Q0DX67
Os02g0773300	Q6ZHE5
Os02g0774100	Q6Z7L3
Os02g0775100	Q6Z7K5
Os02g0775200	Q6YZ54
Os02g0775400	Q6YZ52
Os02g0776800	Q6YZ49
Os02g0776900	Q6AWY8
Os02g0778400	Q6K7H2
Os02g0778600	Q6K7G9
Os02g0780600	Q6K833
Os02g0782500	Q6K7E9
Os02g0782700	Q6K7E6
Os02g0784700	P0DKJ9
Os02g0789400	Q6K4N0
Os02g0791200	Q6KAE5
Os02g0793000	Q6K687
Os02g0793900	Q6K678
Os02g0794700	Q6K669
Os02g0794900	Q6K8Z4
Os02g0795900	Q0DWT8
Os02g0796500	Q6K8X6
Os02g0797200	Q6KAJ8
Os02g0797200	P51426
Os02g0797400	Q6KAJ4
Os02g0798400	P0CE66
Os02g0798501	B7F6L8
Os02g0799000	Q69QZ0
Os02g0799100	E3VXF2
Os02g0801300	Q0DWQ7
Os02g0802700	Q0DWQ1
Os02g0803700	P46465
Os02g0804600	A3ACF3
Os02g0805100	Q6K846
Os02g0805200	P17070
Os02g0806900	Q6K8E7
Os02g0808800	Q6K9A2
Os02g0809800	Q6K991
Os02g0810200	Q6K990
Os02g0811000	Q6K5X1
Os02g0813500	P48642
Os02g0814200	Q6K3D8
Os02g0814900	Q0DWH7
Os02g0815500	Q0DWH1
Os02g0817500	Q40648
Os02g0817600	Q0DWF2
Os02g0817800	Q9LL45
Os02g0819400	B9F4I8
Os02g0820900	Q0DWC7
Os02g0823000	Q0DWA9
Os02g0823100	Q9SXF8
Os02g0826100	Q6K7R9
Os02g0826600	Q6K7R2
Os02g0827200	Q6YK44
Os02g0829100	Q6K9U2
Os02g0829900	Q84VA7
Os02g0830200	Q6K9T0
Os02g0831100	Q6K977
Os02g0831500	Q6K973
Os02g0831600	Q6K972
Os02g0831700	Q9XG80
Os02g0832000	Q6K968
Os02g0832200	Q6K965
Os02g0834000	Q6EP31
Os03g0100100	Q10T67
Os03g0101900	Q10T43
Os03g0102500	Q10T32
Os03g0102700	Q9LD07
Os03g0105600	Q8H7U1
Os03g0106300	Q75RY2
Os03g0106500	Q40638
Os03g0106700	Q946J4
Os03g0106800	Q8H7T4
Os03g0106900	Q40638
Os03g0107300	Q10SY9
Os03g0107700	Q10SY2
Os03g0107900	Q10SX7
Os03g0108000	Q10SX6
Os03g0108600	Q0DVX2
Os03g0109300	Q8H7U8
Os03g0109400	Q6TAQ6
Os03g0110800	Q10SU5
Os03g0111300	Q10ST8
Os03g0112700	Q0DVU4
Os03g0113100	O81263
Os03g0114000	B9FAF3
Os03g0117100	Q10SM7
Os03g0117800	Q10SM2
Os03g0118400	P29618
Os03g0120900	Q8LMR9
Os03g0121800	Q8LMR2
Os03g0122600	Q9XJ60
Os03g0123500	Q94LW3
Os03g0125000	Q9ZST0
Os03g0126800	Q10SC8
Os03g0128500	Q9LRE5
Os03g0128700	P53684
Os03g0130400	Q10S93
Os03g0131100	Q10S83
Os03g0131200	Q10S82
Os03g0131900	Q8LSQ2
Os03g0132000	Q10S72
Os03g0132200	Q10S70
Os03g0132900	Q10S66
Os03g0133000	Q10S65
Os03g0133400	Q8H8C7
Os03g0133900	Q10S58
Os03g0134300	Q10S55
Os03g0136200	O82427
Os03g0136400	Q8H6G9
Os03g0137200	Q10S32
Os03g0137500	Q10S27
Os03g0137700	Q10S25
Os03g0137800	Q283L0
Os03g0141200	Q10RZ1
Os03g0142800	Q10RX7
Os03g0144800	Q8H038
Os03g0146100	P50156
Os03g0146300	Q6PS57
Os03g0148000	Q10RR9
Os03g0149100	Q5UG13
Os03g0150500	Q8H074
Os03g0150600	Q8H6H4
Os03g0150800	Q8GSD9
Os03g0151300	Q10RP4
Os03g0152400	Q0DV32
Os03g0152900	Q0DV28
Os03g0155300	Q7G6Z2
Os03g0155500	Q4PR41
Os03g0155700	Q4PR50
Os03g0155900	Q4PR48
Os03g0156000	Q7G6Z5
Os03g0156300	Q10RK1
Os03g0158200	Q10RI7
Os03g0161800	Q10RE5
Os03g0161900	Q8H7Y6
Os03g0162000	Q10RE2
Os03g0162200	Q8H7Y8
Os03g0164300	B7EIH2
Os03g0165000	C7J0A2
Os03g0165400	Q10RB4
Os03g0167500	Q10R93
Os03g0169100	Q9ZTP5
Os03g0169500	Q8S7W0
Os03g0170600	Q8S7W9
Os03g0170900	Q10R54
Os03g0171300	Q0DUR2
Os03g0171700	Q10R47
Os03g0174400	Q10R18
Os03g0174500	Q10R17
Os03g0175800	Q10R09
Os03g0177400	O64937
Os03g0177500	O64937
Os03g0177900	O64937
Os03g0178000	O64937
Os03g0179100	Q8H021
Os03g0179900	Q8H016
Os03g0180400	Q9LSU3
Os03g0180800	Q8GSI0
Os03g0180900	Q8GRS2
Os03g0181100	Q10QW3
Os03g0182700	Q94HF1
Os03g0183100	Q8L4E7
Os03g0184000	Q0DUI8
Os03g0184500	Q10QS9
Os03g0184700	Q10QS7
Os03g0185000	Q0DUI1
Os03g0186100	Q10QR9
Os03g0186600	Q5K4R0
Os03g0186900	Q6F4N5
Os03g0188200	Q8H7N9
Os03g0188900	Q10QP3
Os03g0192500	Q10QL5
Os03g0192700	O64437
Os03g0192800	A3AF13
Os03g0195100	Q6VMN7
Os03g0196400	Q10QH3
Os03g0196600	Q10QH1
Os03g0198600	Q10QF2
Os03g0199100	Q10QE9
Os03g0200500	P49397
Os03g0202200	Q84P97
Os03g0203200	Q10QA5
Os03g0203800	Q10QA2
Os03g0204100	Q10Q99
Os03g0206300	Q10Q80
Os03g0206600	Q10Q78
Os03g0207400	Q8H063
Os03g0208500	Q10Q65
Os03g0208700	Q10Q63
Os03g0208800	Q10Q62
Os03g0210000	Q10Q48
Os03g0210100	Q10Q47
Os03g0210200	Q10Q46
Os03g0212200	B9F655
Os03g0212300	Q10Q26
Os03g0212800	Q8L7J2
Os03g0214100	Q10Q08
Os03g0214200	Q10Q07
Os03g0215200	Q76EJ0
Os03g0215400	Q10PZ9
Os03g0215700	Q10PZ6
Os03g0215900	Q10PZ4
Os03g0216600	B9F676
Os03g0218400	Q10PW9
Os03g0219700	Q10PV9
Os03g0223200	Q10PS6
Os03g0223400	P14654
Os03g0224200	Q8H7S7
Os03g0224700	Q10PR4
Os03g0225200	Q10PQ9
Os03g0225900	Q7XYS3
Os03g0226200	O04985
Os03g0226400	Q10PP8
Os03g0226800	A0A0P0VUY4
Os03g0227000	Q8H852
Os03g0227700	Q5CCK3
Os03g0230500	Q10PL5
Os03g0231000	Q8GRL4
Os03g0232600	Q10PI9
Os03g0232800	Q10PI6
Os03g0232900	Q10PI5
Os03g0233900	O04986
Os03g0234000	Q94FT8
Os03g0234100	Q94FT7
Os03g0234200	P0CH34
Os03g0237100	Q10PE7
Os03g0237900	Q0DTM7
Os03g0243100	Q10P87
Os03g0243300	O82143
Os03g0243600	Q10P83
Os03g0245100	Q10P67
Os03g0245800	Q10P60
Os03g0251350	A6BLW4
Os03g0252800	Q10P01
Os03g0254700	Q10NY2
Os03g0255100	Q10NX8
Os03g0259300	Q10NT7
Os03g0261100	Q9XG81
Os03g0262400	Q10NQ9
Os03g0262900	Q10NQ3
Os03g0264000	Q84QC0
Os03g0264400	Q9XJ29
Os03g0265500	Q84QA7
Os03g0266300	Q84Q77
Os03g0266900	P31673
Os03g0267000	Q84Q72
Os03g0267200	Q84J50
Os03g0267300	O64422
Os03g0268000	P48489
Os03g0268400	Q84JH5
Os03g0268600	Q84JI0
Os03g0271200	Q84Q83
Os03g0273200	Q10ND7
Os03g0275100	Q10NB9
Os03g0279000	A3AGM4
Os03g0279200	Q94E96
Os03g0279400	Q10N79
Os03g0279832	B9F7C8
Os03g0281900	Q8H8V7
Os03g0283100	Q8H8U5
Os03g0283200	Q10N44
Os03g0283600	Q8H8U0
Os03g0284100	Q10N34
Os03g0284800	Q0DSV9
Os03g0285700	Q10N21
Os03g0285800	Q10N20
Os03g0287800	Q10N05
Os03g0287900	Q10N04
Os03g0288000	Q10N03
Os03g0288500	Q0DST9
Os03g0289100	Q852Q0
Os03g0291500	Q10MX3
Os03g0292100	Q10MX1
Os03g0293000	Q10MW6
Os03g0293500	Q10MW3
Os03g0298300	Q10MR5
Os03g0298800	Q10MR0
Os03g0299900	Q10MQ2
Os03g0300000	Q10MQ0
Os03g0301500	Q10MN8
Os03g0301700	Q10MN6
Os03g0301800	Q10MN5
Os03g0301950	Q10MN3
Os03g0302000	Q10MN2
Os03g0305800	Q10MK2
Os03g0306100	C7J0P3
Os03g0307100	Q10MJ1
Os03g0307200	Q10MI9
Os03g0307300	Q0DSH9
Os03g0307800	Q10MI4
Os03g0308500	Q10MH8
Os03g0309200	Q10MG9
Os03g0314800	Q10MC0
Os03g0315400	Q10MB4
Os03g0318600	Q6IVC3
Os03g0319300	Q0JNS6
Os03g0319400	Q6X4A2
Os03g0320000	Q10M80
Os03g0320900	Q10M74
Os03g0322900	A3AHG5
Os03g0323200	Q10M50
Os03g0324200	Q8W3M0
Os03g0324300	Q10M41
Os03g0325600	Q10M29
Os03g0326500	Q10M18
Os03g0327600	Q10M12
Os03g0328400	Q8H7L6
Os03g0328900	Q10M00
Os03g0329200	Q10LZ9
Os03g0329500	P0C1U4
Os03g0329900	Q10LZ1
Os03g0331700	Q10LX4
Os03g0332100	Q0DS59
Os03g0336200	Q6S4P4
Os03g0336400	Q9M4X7
Os03g0337500	Q8VXB5
Os03g0337600	Q10LR9
Os03g0339900	Q10LQ2
Os03g0340500	Q10LP5
Os03g0340900	Q9AYT5
Os03g0341300	Q10LN5
Os03g0345200	P35687
Os03g0346800	Q10LJ2
Os03g0347200	Q10LJ0
Os03g0347500	Q10LI8
Os03g0347800	Q10LI6
Os03g0348900	Q10LI1
Os03g0351200	Q10LH0
Os03g0351400	Q10LG8
Os03g0351500	Q0DRV6
Os03g0352400	Q10LF7
Os03g0356414	Q10L91
Os03g0356700	Q10L71
Os03g0360700	Q10L32
Os03g0366200	Q10KY3
Os03g0366800	Q10KX8
Os03g0370800	Q10KT6
Os03g0377100	Q10KN4
Os03g0377700	Q7PC73
Os03g0385400	Q6ASY2
Os03g0386500	Q10KF5
Os03g0387100	Q10KF0
Os03g0389700	Q75LR2
Os03g0390200	Q75LR7
Os03g0390600	Q0JCT1
Os03g0391000	Q75KP8
Os03g0392000	Q10K98
Os03g0392050	C7J0R5
Os03g0393900	Q84QY3
Os03g0395000	Q10K62
Os03g0396500	Q94LG1
Os03g0397400	Q5KQN0
Os03g0401300	P31924
Os03g0402800	Q84R94
Os03g0405500	Q7Y0E8
Os03g0405900	Q7Y0F2
Os03g0406100	Q7Y0F6
Os03g0406200	Q40682
Os03g0411800	Q852F6
Os03g0413000	Q75IZ7
Os03g0416200	Q10JL1
Os03g0416300	Q75IW1
Os03g0416500	Q75IV7
Os03g0417800	Q7Y1L9
Os03g0418000	P25765
Os03g0419100	Q10JI3
Os03g0421500	A3AJ77
Os03g0423300	Q84MF1
Os03g0424200	Q0DR28
Os03g0424500	P40978
Os03g0424800	P40978
Os03g0425000	Q84MH1
Os03g0425600	Q75GS4
Os03g0426800	Q75GT2
Os03g0426900	Q75GT3
Os03g0427300	Q09151
Os03g0428700	Q75I75
Os03g0429000	Q10J94
Os03g0429800	Q6AUV1
Os03g0432100	Q75KR1
Os03g0433200	Q75I13
Os03g0437200	Q75KE5
Os03g0437600	Q10J20
Os03g0438100	Q75KD7
Os03g0449200	Q75HC2
Os03g0563300	Q53RM0
Os03g0565100	Q94I55
Os03g0565500	Q9FE64
Os03g0566800	Q10I26
Os03g0567600	Q10I20
Os03g0570300	Q75LU5
Os03g0574900	Q84MS4
Os03g0575200	Q84MS3
Os03g0576200	Q75G84
Os03g0576600	Q75G87
Os03g0582200	Q75IC7
Os03g0583900	Q10HL3
Os03g0586800	Q6F2U9
Os03g0587200	Q5W6L9
Os03g0592500	Q10HD0
Os03g0594400	Q851G4
Os03g0599800	Q8H8T0
Os03g0602300	Q8GSQ1
Os03g0604200	B7F958
Os03g0607600	Q75I54
Os03g0610650	Q75H81
Os03g0610800	Q10GX0
Os03g0610900	Q75H77
Os03g0616400	Q6ATV4
Os03g0617500	Q0DQA9
Os03g0617900	Q6AV34
Os03g0619600	Q6AV22
Os03g0619800	Q6AV21
Os03g0619850	Q10GP0
Os03g0620400	Q851W5
Os03g0620500	Q851W4
Os03g0620800	Q851W1
Os03g0621600	Q851V1
Os03g0621600	Q851V5
Os03g0622100	Q10GM4
Os03g0622200	Q10GM3
Os03g0625900	Q75LV5
Os03g0626800	Q75LU8
Os03g0633500	Q75GK0
Os03g0633800	Q75GK1
Os03g0634000	Q75GK3
Os03g0634400	Q75GK4
Os03g0635100	Q75WU1
Os03g0636800	Q10GB1
Os03g0637800	Q75J39
Os03g0639600	Q6ASS2
Os03g0640100	Q10G81
Os03g0640800	Q6AST1
Os03g0643300	Q10G56
Os03g0644400	Q60DN5
Os03g0645000	Q10G40
Os03g0645100	Q10G39
Os03g0645900	Q5MBR5
Os03g0650000	Q10FZ7
Os03g0650400	Q53KW9
Os03g0650900	Q7XZZ3
Os03g0651000	Q7XZZ1
Os03g0651800	Q7XZY1
Os03g0654600	Q84ST4
Os03g0657000	Q8W0W4
Os03g0661300	Q76FS2
Os03g0663800	Q75GX9
Os03g0667100	Q75HA6
Os03g0667300	Q6L8G1
Os03g0667500	Q75HB1
Os03g0668900	Q7Y180
Os03g0669000	Q7Y183
Os03g0669100	Q10FF9
Os03g0669200	Q40687
Os03g0673000	Q75LX7
Os03g0673500	Q75LX9
Os03g0674700	Q9FRG8
Os03g0675600	Q9FRF9
Os03g0681700	Q9AYE4
Os03g0682200	Q7Y001
Os03g0682600	Q10F39
Os03g0684000	Q10F25
Os03g0684400	Q9AUK4
Os03g0686900	Q10F03
Os03g0688300	Q6AVI8
Os03g0690000	Q6AVK1
Os03g0693700	Q851J8
Os03g0693800	Q851J9
Os03g0693900	Q851K0
Os03g0694000	Q851K1
Os03g0695600	Q9LST6
Os03g0697200	Q851C7
Os03g0698800	Q10EL1
Os03g0699000	Q10EK7
Os03g0699200	Q851S7
Os03g0699300	Q851S8
Os03g0699700	Q76I22
Os03g0700400	Q7G794
Os03g0700700	Q53RB0
Os03g0701700	Q53RH0
Os03g0701800	Q6EX42
Os03g0703000	Q75I93
Os03g0703100	Q75I94
Os03g0706500	Q8LN68
Os03g0707600	Q7G7J6
Os03g0708000	Q10E50
Os03g0708100	Q10E49
Os03g0708600	Q53RK8
Os03g0710500	Q53RJ5
Os03g0710800	Q06967
Os03g0711400	Q9AUR8
Os03g0711500	Q9AUR7
Os03g0712800	Q4W8D0
Os03g0717700	A1A698
Os03g0718000	Q764B9
Os03g0718100	Q10DV7
Os03g0718500	Q10DV5
Os03g0719100	Q6ASW7
Os03g0719800	Q10DU0
Os03g0721900	Q8LLP5
Os03g0723000	Q53K16
Os03g0725300	Q6AU07
Os03g0726200	Q75GI4
Os03g0727000	P46609
Os03g0727200	Q948L5
Os03g0727600	Q10DK7
Os03g0728800	Q6ATJ8
Os03g0729000	Q851F9
Os03g0729500	Q6AWY3
Os03g0731900	Q6AVG6
Os03g0733400	Q6AVI0
Os03g0733600	Q6AVI1
Os03g0734900	Q0DNU1
Os03g0735000	Q6AVT2
Os03g0736300	Q84R49
Os03g0737600	Q10D80
Os03g0737701	Q84R36
Os03g0738600	P29250
Os03g0741100	Q75KV9
Os03g0742300	Q75KW7
Os03g0742400	Q10D38
Os03g0742900	Q10D34
Os03g0743400	Q84MP7
Os03g0743500	Q84MN0
Os03g0745000	Q84MN7
Os03g0746500	Q10D00
Os03g0747800	Q9XEA8
Os03g0749000	Q10CV4
Os03g0750200	Q75LL2
Os03g0750300	Q75LL2
Os03g0750800	Q75LL6
Os03g0752100	Q10CQ8
Os03g0752200	Q7Y021
Os03g0752300	Q850M0
Os03g0752800	Q10CQ1
Os03g0753100	Q6Q9H6
Os03g0755100	Q9FNU2
Os03g0757900	Q9AUV6
Os03g0759500	Q10CI8
Os03g0761100	Q94H98
Os03g0762000	Q9AQU1
Os03g0764800	Q7Y0B9
Os03g0766100	Q0DN94
Os03g0767000	Q7Y0C8
Os03g0767500	Q7Y0D4
Os03g0767900	Q10EJ2
Os03g0769600	Q75KA9
Os03g0770800	Q6AU53
Os03g0771500	Q10ED2
Os03g0772100	Q10EC6
Os03g0773600	Q10E64
Os03g0775300	Q8H8N3
Os03g0776000	P42862
Os03g0780400	Q9AY76
Os03g0780600	P37832
Os03g0780900	Q10CT5
Os03g0781501	P62125
Os03g0782500	Q10CH5
Os03g0783000	A3ANB5
Os03g0784700	P41345
Os03g0785800	Q10CE8
Os03g0785900	Q10CE7
Os03g0786100	Q10CE4
Os03g0788500	Q6F3A6
Os03g0789000	Q852N6
Os03g0789500	Q852N2
Os03g0790600	Q852M4
Os03g0790700	Q852M2
Os03g0790900	Q852M1
Os03g0792400	Q852K0
Os03g0792600	Q852K3
Os03g0792900	Q852K5
Os03g0793000	Q852K6
Os03g0793300	Q852K8
Os03g0793500	Q852L0
Os03g0793700	Q852L2
Os03g0794500	Q852M0
Os03g0795900	Q6F388
Os03g0796900	Q7X9A8
Os03g0797800	Q7Y1H8
Os03g0798300	Q7Y1I7
Os03g0799700	Q851Q6
Os03g0800200	Q851R2
Os03g0800700	Q851R5
Os03g0801700	Q10BX9
Os03g0802700	Q84T03
Os03g0802900	Q84T08
Os03g0804500	Q10BU2
Os03g0804700	Q75HJ4
Os03g0805200	Q75HJ0
Os03g0805300	Q10BT5
Os03g0806500	Q84M47
Os03g0808100	Q84M43
Os03g0808600	Q75GE8
Os03g0809900	Q6ATR0
Os03g0811100	Q6ATS0
Os03g0812000	Q7XZF7
Os03g0815100	Q75HE5
Os03g0815200	Q75HE6
Os03g0815700	Q75GR5
Os03g0816900	Q84TX2
Os03g0817100	B9F6Z0
Os03g0818300	Q84TV4
Os03g0819100	Q84TA3
Os03g0819600	Q84T92
Os03g0820500	Q84TB6
Os03g0820600	Q84TB3
Os03g0821300	Q84T94
Os03g0822000	Q852A1
Os03g0826400	Q10B98
Os03g0826500	Q94GF1
Os03g0827500	Q10B79
Os03g0827700	Q0DM51
Os03g0828100	Q8SAY0
Os03g0828300	Q0DM48
Os03g0828500	Q10B67
Os03g0829000	Q10B63
Os03g0832400	Q7Y138
Os03g0833200	Q10B19
Os03g0833300	Q75LH6
Os03g0834000	Q75LI2
Os03g0835400	Q75LJ3
Os03g0835600	Q75LJ4
Os03g0835800	Q10AZ7
Os03g0836000	Q10AZ4
Os03g0836800	Q851L5
Os03g0836900	Q851L6
Os03g0837100	Q851L8
Os03g0838400	Q851M9
Os03g0843600	Q75LD5
Os03g0847600	Q84SN3
Os03g0851200	Q851Y7
Os03g0851800	O24210
Os03g0852200	Q851X7
Os03g0853500	Q84T65
Os03g0854200	Q84T68
Os03g0854500	Q84T61
Os03g0855600	Q75IQ4
Os03g0856200	Q75IP6
Os03g0856700	P93771
Os03g0857900	Q84M85
Os03g0861300	Q7Y1E6
Os03g0862200	Q7Y1C8
Os04g0100300	Q6MWG9
Os04g0101400	Q0JFI2
Os04g0103100	Q7XTB2
Os04g0104900	Q7XXI9
Os04g0105500	Q7XMI0
Os04g0106300	Q7X7N2
Os04g0107600	Q7XRA1
Os04g0117500	Q7XT08
Os04g0117600	Q7XT07
Os04g0118100	Q7XTK3
Os04g0119400	Q7XTJ3
Os04g0151800	Q0JF58
Os04g0162100	Q0JF48
Os04g0167900	Q7XP01
Os04g0169100	Q7XX84
Os04g0173800	Q0JF21
Os04g0175900	Q7XXD4
Os04g0177600	Q0JF03
Os04g0178300	Q0JF02
Os04g0178400	Q0JF01
Os04g0179200	Q7FAE1
Os04g0179700	Q0JEZ8
Os04g0180400	Q7X7X4
Os04g0182800	Q7F9U3
Os04g0185600	Q7X7V2
Os04g0186400	Q8H6H2
Os04g0186800	Q7XRH8
Os04g0194600	O23875
Os04g0201900	Q7FAZ3
Os04g0202300	Q7FAZ2
Os04g0202500	Q0JEU6
Os04g0202800	Q7FAZ0
Os04g0206300	Q7XWK5
Os04g0206600	Q7XT97
Os04g0212450	Q7XN30
Os04g0223300	Q0JEQ2
Os04g0225700	Q0JEP3
Os04g0228400	Q7XWU8
Os04g0229100	Q7XWU3
Os04g0233400	Q7XLR1
Os04g0244900	Q7XWS7
Os04g0245000	Q7XWS7
Os04g0249500	Q7XNX6
Os04g0252200	Q7XWP1
Os04g0252400	Q7XWP3
Os04g0271200	Q7XSZ4
Os04g0281900	Q0JEF7
Os04g0282400	Q0JEF5
Os04g0287400	Q0JEE2
Os04g0304200	Q9ST27
Os04g0304400	Q84NC5
Os04g0307200	Q7XVN7
Os04g0309600	H6TFZ4
Os04g0310700	Q7XXL2
Os04g0320100	Q7XTG7
Os04g0321600	Q7X923
Os04g0321800	Q7XW27
Os04g0337500	Q0JE32
Os04g0338000	Q7XT99
Os04g0339400	Q7XQ45
Os04g0345800	Q7XNS7
Os04g0346900	Q7XS75
Os04g0347400	Q7XS74
Os04g0348800	Q7XS69
Os04g0349100	Q7XKS9
Os04g0350100	P0C579
Os04g0350300	Q7XKR9
Os04g0364800	Q7XVA8
Os04g0375900	Q7XMJ2
Os04g0379900	Q40731
Os04g0381100	Q7XVB3
Os04g0386900	Q7XLP4
Os04g0389800	Q7XKQ8
Os04g0390500	Q7XRV2
Os04g0390600	Q7XRV1
Os04g0391000	Q7XRV0
Os04g0393300	Q7XRU4
Os04g0393500	Q0JDM4
Os04g0394300	Q0JDM0
Os04g0395600	Q7XVM8
Os04g0395800	Q7XV97
Os04g0396500	G3XKQ9
Os04g0397000	Q0JDK9
Os04g0397100	Q7F9I1
Os04g0398600	Q7XLG3
Os04g0401000	Q7XL73
Os04g0401700	Q6VVA6
Os04g0403701	Q7XVF9
Os04g0405000	Q7XL03
Os04g0408700	Q7XLX6
Os04g0408900	P42553
Os04g0413200	Q0JDC6
Os04g0413500	Q0JDC5
Os04g0415600	Q7XTF8
Os04g0418000	Q0JDA2
Os04g0419600	Q2RAD9
Os04g0429500	Q7XUT9
Os04g0429600	Q7XUU0
Os04g0430100	P0DKK9
Os04g0430800	Q7XQQ2
Os04g0430900	Q7XQQ1
Os04g0432000	Q7XQP4
Os04g0432500	Q0JD42
Os04g0434500	Q7X7N3
Os04g0434600	B9FFA3
Os04g0434800	Q7XJ02
Os04g0436300	Q7XRB5
Os04g0438700	Q0JD07
Os04g0442000	Q0JCZ4
Os04g0442300	Q2HWG4
Os04g0443300	Q7XTH4
Os04g0443750	B9FFD2
Os04g0443801	B9FFD3
Os04g0444300	Q7X6L2
Os04g0444900	Q7XUW3
Os04g0445000	Q7XUW4
Os04g0445100	Q7XUW5
Os04g0447100	Q7XV13
Os04g0448500	Q7XV21
Os04g0448900	Q0JCU7
Os04g0449400	Q7XTC7
Os04g0450800	Q0JCT1
Os04g0452000	Q7XQU7
Os04g0452500	Q7FAD5
Os04g0452700	Q0JCR9
Os04g0455800	Q7XRF1
Os04g0457800	Q7XV05
Os04g0459700	Q7X7C9
Os04g0459800	Q7X745
Os04g0460400	Q7XUV7
Os04g0461800	Q7XUV2
Os04g0462500	Q7XTE8
Os04g0463400	Q6MWE5
Os04g0463500	Q7XUS2
Os04g0464200	O24174
Os04g0464966	Q7X7A4
Os04g0465700	Q7XM31
Os04g0469800	Q6F4F5
Os04g0470600	Q7XQN1
Os04g0474300	B7ECS8
Os04g0474500	Q7F9K4
Os04g0474700	Q7XKV5
Os04g0474800	Q7XKV4
Os04g0474900	Q7XKV2
Os04g0475600	Q7XKU5
Os04g0476700	Q7XK44
Os04g0479000	Q7XK25
Os04g0480200	Q7XK12
Os04g0482000	Q7XUP7
Os04g0482100	Q7XUP6
Os04g0484900	Q7X7L3
Os04g0485000	Q8W425
Os04g0486600	Q7FAH2
Os04g0486950	Q7XUG1
Os04g0487550	Q7XSB2
Os04g0488000	Q7XUF4
Os04g0492800	Q0JC44
Os04g0493400	O04138
Os04g0494100	Q7Y1Z0
Os04g0495800	Q0JC27
Os04g0497200	Q7XUK4
Os04g0498600	Q0JC10
Os04g0499300	Q84PB3
Os04g0500700	Q0JBZ8
Os04g0500900	Q7XU84
Os04g0501100	Q0JBZ6
Os04g0502200	Q0JBY9
Os04g0506800	Q7FA29
Os04g0508300	P55142
